@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,frequency,geography,units,Frequency,Geography,Units
monthly,EIA,INTL,International Energy Data,53-1-WORL-TBPD.M,"Petroleum and other liquids production, World, Monthly — thousand barrels per day",1993-01,1993-01-01,67792.942,67792.942,M,wld,thou,Monthly,WLD,thousand barrels per day
monthly,EIA,INTL,International Energy Data,53-1-WORL-TBPD.M,"Petroleum and other liquids production, World, Monthly — thousand barrels per day",1993-02,1993-02-01,67813.134,67813.134,M,wld,thou,Monthly,WLD,thousand barrels per day
monthly,EIA,INTL,International Energy Data,53-1-WORL-TBPD.M,"Petroleum and other liquids production, World, Monthly — thousand barrels per day",1993-03,1993-03-01,67158.159,67158.159,M,wld,thou,Monthly,WLD,thousand barrels per day
monthly,EIA,INTL,International Energy Data,53-1-WORL-TBPD.M,"Petroleum and other liquids production, World, Monthly — thousand barrels per day",1993-04,1993-04-01,66423.775,66423.775,M,wld,thou,Monthly,WLD,thousand barrels per day
monthly,EIA,INTL,International Energy Data,53-1-WORL-TBPD.M,"Petroleum and other liquids production, World, Monthly — thousand barrels per day",1993-05,1993-05-01,66531.42,66531.42,M,wld,thou,Monthly,WLD,thousand barrels per day
monthly,EIA,INTL,International Energy Data,53-1-WORL-TBPD.M,"Petroleum and other liquids production, World, Monthly — thousand barrels per day",1993-06,1993-06-01,66267.654,66267.654,M,wld,thou,Monthly,WLD,thousand barrels per day
monthly,EIA,INTL,International Energy Data,53-1-WORL-TBPD.M,"Petroleum and other liquids production, World, Monthly — thousand barrels per day",1993-07,1993-07-01,66993.12,66993.12,M,wld,thou,Monthly,WLD,thousand barrels per day
monthly,EIA,INTL,International Energy Data,53-1-WORL-TBPD.M,"Petroleum and other liquids production, World, Monthly — thousand barrels per day",1993-08,1993-08-01,66855.718,66855.718,M,wld,thou,Monthly,WLD,thousand barrels per day
monthly,EIA,INTL,International Energy Data,53-1-WORL-TBPD.M,"Petroleum and other liquids production, World, Monthly — thousand barrels per day",1993-09,1993-09-01,66880.545,66880.545,M,wld,thou,Monthly,WLD,thousand barrels per day
monthly,EIA,INTL,International Energy Data,53-1-WORL-TBPD.M,"Petroleum and other liquids production, World, Monthly — thousand barrels per day",1993-10,1993-10-01,67402.696,67402.696,M,wld,thou,Monthly,WLD,thousand barrels per day
monthly,EIA,INTL,International Energy Data,53-1-WORL-TBPD.M,"Petroleum and other liquids production, World, Monthly — thousand barrels per day",1993-11,1993-11-01,67472.296,67472.296,M,wld,thou,Monthly,WLD,thousand barrels per day
monthly,EIA,INTL,International Energy Data,53-1-WORL-TBPD.M,"Petroleum and other liquids production, World, Monthly — thousand barrels per day",1993-12,1993-12-01,67647.643,67647.643,M,wld,thou,Monthly,WLD,thousand barrels per day
monthly,EIA,INTL,International Energy Data,53-1-WORL-TBPD.M,"Petroleum and other liquids production, World, Monthly — thousand barrels per day",1994-01,1994-01-01,68475.4,68475.4,M,wld,thou,Monthly,WLD,thousand barrels per day
monthly,EIA,INTL,International Energy Data,53-1-WORL-TBPD.M,"Petroleum and other liquids production, World, Monthly — thousand barrels per day",1994-02,1994-02-01,68207.3,68207.3,M,wld,thou,Monthly,WLD,thousand barrels per day
monthly,EIA,INTL,International Energy Data,53-1-WORL-TBPD.M,"Petroleum and other liquids production, World, Monthly — thousand barrels per day",1994-03,1994-03-01,68126.2,68126.2,M,wld,thou,Monthly,WLD,thousand barrels per day
